Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Resolution_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,Liquidation_Value,Realisable_FC,Realisable_OC,Liquidation_Flag
1,U60231AP1995PLC020693,Synergies-Dooray Automotive Limited,CD,Hyderabad,Yes,2017-01-23,2017-08-02,972.15,972.15,0.0,8.17,54.7,3.91,0
2,U74999MH1998PTC113055,Chhaparia Industries Private Limited,CD,Mumbai,No,2017-02-24,2017-09-29,49.7523758,49.7523758,0.0,17.15,20.6,1.53,0
3,U27201JH2005PTC011197,Prowess International Private Limited,OC,Kolkata,No,2017-04-20,2017-10-17,3.5379906,2.88,0.6579906,,2.88,0.647325,0
4,U26939WB1995PLC075633,Sree Metaliks Ltd.,FC,Kolkata,Yes,2017-01-30,2017-11-07,1289.7298394,1287.2198678,2.5099716,340.62,607.3101,10.9476548,0
5,U51909WB1974SGC029308,West Bengal Essential Commodities Supply Corpn Ltd,FC,Kolkata,No,2017-05-29,2017-11-20,344.9301561,344.9301561,0.0,,185.84,0,0
6,U51900MH1993PLC075613,Shirdi Industries Limited,CD,Mumbai,Yes,2017-05-18,2017-12-12,695.74,673.88,21.86,103.05,176.36,6.36,0
7,U55101RJ1986PTC003755,Hotel Gaudavan Private Limited,FC,New Delhi,No,2017-03-31,2017-12-13,70.6765,70.44,0.2365,36.12,44.2,0.7955897,0
8,U74899KA1987PLC058614,Nandan Hotels Limited,OC,Bengaluru,No,2017-08-17,2017-12-14,1.101939,0.0,1.101939,,0,1.1,0
9,U51909UP1997FTC047891,JEKPL Private Limited,CD,Allahabad,No,2017-03-17,2017-12-15,606.57,606.57,0.0,222.06,162,0,0
10,U34300PN1985PLC037909,Trinity Auto Components Limited,CD,Mumbai,Yes,2017-05-25,2018-01-22,17.3839656,17.3839656,0.0,20.8164,17.38,6.2533646,0
11,L26942WB1937PLC009086,Kalyanpur Cements Limited,OC,Kolkata,No,2017-05-01,2018-01-31,631.9499999999999,131.04999999999998,500.9,119.7417,98.6,249.4,0
12,U45201WB2007PTC162847,Palogix Infrastructure Private Limited,FC,Kolkata,No,2017-05-16,2018-02-12,158.3921452,154.3921452,4.0,48.8563,56.8382,18.8328,0
13,U25202DL2011PTC224673,Shree Radharaman Packaging Private Limited,OC,New Delhi,No,2017-04-28,2018-02-15,1.8039198,0.8946034,0.9093164,2.88,0.9572,0.5449039,0
14,U45200MH2005PTC155800,Kohinoor CTNL Infrastructure Company Private Limited,FC,Mumbai,No,2017-06-16,2018-02-21,2578.6433179,2528.3950175,50.2483004,329.9,2246,9,0
15,U51909WB1976GOI030797,Burn Standard Co Ltd,CD,Kolkata,Yes,2017-05-31,2018-03-06,298.03,58.77,239.26,593,65.47,239.26,0
16,U27102WB2003PTC096337,Divya Jyoti Sponge Iron Private Limited,FC,Kolkata,No,2017-08-23,2018-03-13,80.36,77.2,3.16,16.83,34.25,1.97,0
17,U30007TN1995PTC029790,Propel Valves Private Limited,OC,Chennai,No,2017-08-11,2018-03-19,1.9132113,1.7122683,0.200943,0.38,1.71,0.200943,0
18,U51100GJ1987PTC009649,Kalptaru Alloys Private Limited,FC,Ahmedabad,Yes,2017-09-05,2018-03-20,51.23,51.2,0.03,27.48,31.6,1.9,0
19,U27109TG2002PTC038411,Basai Steels and Power Private Limited,OC,Hyderabad,Yes,2017-07-19,2018-04-13,896.0500000000001,853.69,42.36,52.09,125.81,13.93,0
20,L27310JH2006PLC012663,Electrosteel Steels Limited,FC,Kolkata,No,2017-07-21,2018-04-17,13958.3606113868,13175.1420548128,783.218556574,2899.98,5320,0,0
21,L27109WB1995PLC073700,MBL Infrastructures Limited,FC,Kolkata,No,2017-03-30,2018-04-18,1506.8651153,1428.2089065,78.6562088,269.9,1597.13,217.43,0
22,L15142MH2001PLC133714,Raj Oil Mills Limited,CD,Mumbai,Yes,2017-07-10,2018-04-19,612.5899999999999,243.19,369.4,22.83,55.87,6.39,0
23,U74899DL1995PLC066170,Ved Cellulose Limited,FC,New Delhi,No,2017-06-30,2018-05-14,29.2126454,24.5089882,4.7036572,13.2565511,14.47,0,0
24,L74899DL1983PLC014942,Bhushan Steel Limited,FC,New Delhi,No,2017-07-26,2018-05-15,57505.05,56022.06,1482.99,14541,35571,1200.32,0
25,U25209MH2007PTC173910,Wig Associates Private Limited,CD,Mumbai,No,2017-08-24,2018-06-04,17.82,10.67,7.15,0.87,3.55,0.1026,0
26,U55101KA1999PLC025622,B.J.N. Hotels Limited,FC,Bengaluru,No,2017-09-25,2018-06-04,135.8,134.18,1.62,24.15,29.92,0.08,0
27,U01403PN2014PTC150370,Nutri First Agro International Private Limited,OC,Mumbai,No,2017-07-31,2018-06-08,15.18,13.83,1.35,10.21,13.83,1.19,0
28,U01111HR2009PTC038886,MOR Farms Private Limited,FC,Chandigarh,No,2017-09-04,2018-06-15,32.52,32.52,0.0,3.91,9.25,0,0
29,U35111KL2004PTC017108,Master Shipyard Private Limited,OC,Chennai,No,2017-12-21,2018-06-15,0.434,0.004,0.43,3.78,0.004,0.43,0
30,U13201OR1953PLC017027,Orissa Manganese & Minerals Ltd,FC,Kolkata,No,2017-08-03,2018-06-22,5414.49,5388.54,25.95,301.02,310,7.79,0
31,L25201WB1984PLC038030,Datre Corporation Limited,FC,Kolkata,Yes,2017-09-20,2018-06-22,84.86,84.86,0.0,9.07,9.22,0.58,0
32,L36934MH1977PLC019972,Ellora Paper Mills Limited,FC,Mumbai,No,2017-07-19,2018-06-26,44.35,7.6,36.75,3.88,5.4,1.83,0
33,U29219HP1994PLC014893,A Power Himalayas Limited,FC,Chandigarh,No,2017-11-03,2018-07-05,112.39,55.6,56.79,6.31,23.13,24.17,0
34,U45203MP2007PTC019487,Keti Highway Developers Private Limited,FC,Ahmedabad,No,2017-08-17,2018-07-10,78.71,76.57,2.14,10.28,18.5,0.28,0
35,U24116PN2007PTC130818,Yashraaj Ethanoll Processing Private Limited,FC,Mumbai,No,2017-07-20,2018-07-13,99.21,82.57,16.64,12.4,14.67,2.92,0
36,L21010TG1938PLC000591,The Sirpur Paper Mills Limited,OC,Hyderabad,Yes,2017-09-18,2018-07-19,636.93,533.38,103.55,202.76,340,9.5,0
37,U35204WB1981PLC033700,Stesalit Limited,OC,Kolkata,No,2017-11-20,2018-07-20,76.72999999999999,49.73,27.0,15.06,19.28,2.59,0
38,L02710CT1990PLC009826,Monnet Ispat and Energy Limited,FC,Mumbai,No,2017-07-18,2018-07-24,11478.08,11014.91,463.17,2365,2892.12,25,0
39,U24232TG2010PTC071534,Admiron Life Sciences Private Limited,CD,Hyderabad,No,2017-07-28,2018-07-24,78.72999999999999,72.46,6.27,42.5,50.7,0,0
40,U27109TZ1983PTC001276,Paragon Steels Private Limited,FC,Chennai,No,2017-09-15,2018-07-24,183.22,181.75,1.47,37.71,41.5,0.1,0
41,U02710TZ1996PTC006921,S M M Steel Re-Rolling Mills Private Limited,FC,Chennai,No,2017-09-15,2018-07-24,41.5,41.46,0.04,1.8,1.6,0.01,0
42,U55100PB2005PTC029009,Concord Hospitality Private Limited,FC,Chandigarh,No,2017-08-04,2018-07-25,83.21000000000001,47.86,35.35,107.72,47.86,35.35,0
43,U24246MH1993PTC074959,Mohan Aromatics Private Limited,FC,Mumbai,No,2017-10-18,2018-07-25,10.65,10.65,0.0,3.75,4.72,0,0
44,U24110MH1982PLC027307,SM Dyechem Ltd,CD,Mumbai,Yes,2017-10-13,2018-07-30,2.12,0.0,2.12,,0,2.12,0
45,L17100DL1991PLC171468,Amit Spinning Industries Limited,CD,New Delhi,Yes,2017-08-01,2018-07-31,142.63,85.95,56.68,25.96,22.04,6.16,0
46,U63023WB1982PTC034674,Southern Cooling Towers Pvt Ltd,OC,Kolkata,No,2018-02-07,2018-08-06,17.09,15.82,1.27,23.83,15.82,0.81,0
47,U15400GJ2012PTC069873,Shakti Nutraceuticals Private Limited,FC,Ahmedabad,Yes,2017-08-28,2018-08-09,1.116,1.11,0.006,0,1.18,0.006,0
48,U73100MH2006PLC158704,Quantum Limited,FC,Mumbai,Yes,2017-05-29,2018-08-10,32.18,32.18,0.0,19.2,32.18,0,0
49,U55101WB1996PTC081666,Jalan Inter Continental Hotels Private Limited,FC,Kolkata,No,2017-08-29,2018-08-24,170.66,167.1,3.56,103,108.82,1.64,0
50,U27106HR1987PLC030006,Arcee Ispat Udyog Limited,FC,Chandigarh,Yes,2017-08-30,2018-08-30,64.03,64.03,0.0,6.99,15.1,0,0
51,U85110TZ2003PLC010465,Vangal Amman Health Services Limited,FC,Chennai,Yes,2017-11-22,2018-08-30,47.75,46.68,1.07,55.05,46.65,0.78,0
52,U27310TN2007PTC064480,NSR Steels Private Limited,FC,Chennai,Yes,2017-11-24,2018-08-30,92.81,88.95,3.86,,13.58,0.46,0
53,U33110CH2003PTC026619,Recorders & Medicare Systems Private Limited,CD,Chandigarh,No,2017-03-16,2018-09-14,109.47,103.16,6.31,14.83,45.29,2.28,0
54,U55101TN2002PTC048987,Malabar Hotels Private Limited,OC,Chennai,No,2017-08-16,2018-09-17,35.64,33.76,1.88,89.93,33.76,4.84,0
55,L01132AS1977PLC001685,Assam Company India Limited,FC,Guwahati,No,2017-10-26,2018-09-20,1526.95,1379.17,147.78,359.91,884,135.53,0
56,U70109WB1983PTC035764,Dooteriah & Kale Jvalley Tea Estates Private Limited,OC,Kolkata,Yes,2017-12-12,2018-09-26,17.28,15.89,1.39,4.228,15.89,5.52,0
57,U40101HP2009PTC031249,Rajpur Hydro Power Private Limited,FC,Chandigarh,No,2017-07-11,2018-09-27,76.73,75.23,1.5,31.95,9.45,0,0
58,U15310PB2006PTC030468,Quality Rice Exports Private Limited,OC,Chandigarh,Yes,2018-02-28,2018-10-04,29.58,23.88,5.7,7.4,10.86,0,0
59,U27104WB2003PLC096622,Cosmic Ferro Alloys Limited,FC,Kolkata,No,2018-01-16,2018-10-11,281.58,194.66,86.92,69.18,91.94,34.29,0
60,U31103KA2002PTC030060,Universal Power Transformer Private Limited,OC,Bengaluru,Yes,2018-02-26,2018-10-11,52.07,37.82,14.25,12.47,13.5,0,0
61,U21010MH1994PTC080267,Gajanan Paper Mills Private Limited,CD,Mumbai,No,2018-04-12,2018-10-14,11.3,5.84,5.46,2.59,2,3.09,0
62,U21011TN1961PLC004531,Sun Paper Mill Limited,OC,Chennai,No,2017-11-15,2018-10-16,23.78,20.99,2.79,163.19,20.99,0.4,0
63,U22190DL2002PTC114722,Rave Scans Private Limited,CD,New Delhi,Yes,2017-01-25,2018-10-17,128.76,122.22,6.54,36,52.64,0.62,0
64,U74900DL2010PLC210687,Fenace Auto Limited,OC,New Delhi,No,2017-11-15,2018-10-17,505.66,483.41,22.25,104.8,127.44,3.76,0
65,U64202KA2007PTC043080,ConnectM Technology Solutions Private Limited,OC,Bengaluru,No,2018-01-29,2018-10-17,2.52,0.9,1.62,0.01,0.9,0.32,0
66,L45202WB1987PLC042377,Manor Floatel Limited,FC,Kolkata,No,2018-01-10,2018-10-30,36.97,34.46,2.51,3.86,6,0.05,0
67,U00060PB2006PLC029675,Rishi Ganga Power Corporation Limited,FC,Chandigarh,Yes,2018-01-25,2018-11-13,164.35,159.64,4.71,15.38,45.12,0.5,0
68,U26941WB1996PLC076612,Binani Cements Limited,FC,Kolkata,Yes,2017-07-25,2018-11-14,7202.36,6469.36,733.0,2300.7,6469.36,633.64,0
69,U27106TG2003PTC040799,AGP Steels Private Limited,CD,Hyderabad,No,2017-09-21,2018-11-28,3.07,3.07,0.0,2.25,2.65,0,0
70,L17120MH1984PLC033553,Mandhana Industries Limited,FC,Mumbai,No,2017-09-29,2018-11-30,1183.1,1180.95,2.15,307.08,509.33,2.15,0
71,U74899DL1991PLC044782,Garg Inox Limited,FC,New Delhi,Yes,2017-07-25,2018-12-04,215.38,214.13,1.25,69.39,72,0,0
72,U27104WB2003PLC096616,Adhunik Alloys & Power Limited,FC,Kolkata,No,2017-08-23,2018-12-07,771.6500000000001,756.71,14.94,174.97,397,12.87,0
73,L20211AS1982PLC001969,Kitply Industries Private Limited,FC,Guwahati,Yes,2018-05-01,2018-12-07,830.89,823.64,7.25,154.43,170.51,0.07,0
74,L74899DL1984PLC019492,Vardhman Industries Limited,CD,New Delhi,No,2017-11-16,2018-12-19,139.14,133.84,5.3,62.07,62.5,1,0
75,U27109WB2003PLC097517,Venky Hi-Tech Ispat Limited,FC,Kolkata,Yes,2018-05-08,2019-01-08,50.06,31.7,18.36,8.8,11.2,1.12,0
76,U26922TG1997PTC027909,United Seamless Tubulaar Private Limited,FC,Hyderabad,No,2017-06-12,2019-01-21,2034.81,2032.78,2.03,597.55,472.25,0,0
77,U24299KL1994PLC007681,Merchem Limited,OC,Chennai,Yes,2018-01-15,2019-01-23,339.68,278.66,61.02,86.52,109.82,1.61,0
78,L24294TN1995PLC030698,Bafna Pharmaceuticals Limited,OC,Chennai,No,2018-07-16,2019-02-01,55.76,49.23,6.53,28,34.46,9.17,0
79,U36910MH1995PTC088038,Say India Jewellers Private Limited,OC,Mumbai,Yes,2017-08-01,2019-02-07,139.73999999999998,137.92,1.82,16.7,27.75,0.5,0
80,U67120WB1991PLC051562,Sunil Ispat and Power Limited,FC,Kolkata,Yes,2018-07-31,2019-02-08,358.73,338.9,19.83,19.89,30.5,0,0
81,U65921UP1996PTC020083,Swadisht Oils Private Limited,OC,Allahabad,No,2017-05-30,2019-02-13,68.19999999999999,58.66,9.54,44.09,58.66,5.94,0
82,L25100MH1965PLC013379,The Rubber Products Limited,CD,Mumbai,No,2018-01-02,2019-02-19,17.700000000000003,9.71,7.99,19.66,9.71,7.99,0
83,U45200PB2011PTC035768,Ambey Constructech Private Limited,CD,Chandigarh,No,2018-02-13,2019-02-20,19.2,19.2,0.0,0.3,6.45,0,0
84,U65910MH1995PLC167801,Paramshakti Steels Limited,FC,Mumbai,Yes,2017-07-03,2019-02-21,181.15,174.94,6.21,34.11,47.95,0.01,0
85,U13100WB2010PTC153241,Pro Minerals Private Limited,FC,Kolkata,No,2018-05-09,2019-02-22,772.33,766.12,6.21,201.33,274,4.49,0
86,L21010GJ1986PLC008772,Rainbow Papers Limited,OC,Ahmedabad,Yes,2017-09-12,2019-02-27,1595.47,1468.25,127.22,424.01,564.31,66.36,0
87,U27100WB2007PTC117511,Darjeeling Rolling Mills Private Limited,OC,Kolkata,No,2018-08-28,2019-03-01,5.3,5.3,0.0,2.32,5.3,0.004,0
88,L17110DN1986PLC000334,Alok Industries Limited,FC,Ahmedabad,No,2017-07-18,2019-03-08,30706.69,29523.86,1182.83,4433,5052,63.2,0
89,U27100GJ1976FLC013787,Essar Steel India Limited,FC,Ahmedabad,No,2017-08-02,2019-03-08,54565.22,49473.15,5092.07,15838,41017.71,1214.07,0
90,U74999TN1998PTC040686,Star Agro Marine Exports Private Limited,FC,Chennai,No,2018-01-08,2019-03-11,631.69,287.23,344.46,22.65,48.09,50.46,0
91,U17111TN1993PTC024754,Subburaj Spinning Mills Private Limited,OC,Chennai,No,2018-04-03,2019-03-12,85.58000000000001,83.68,1.9,26.39,19.95,1.1,0
92,U21012TZ1980PTC000899,Danalakshmi Paper Mills Private Limited,FC,Chennai,No,2018-05-29,2019-03-26,113.09,95.89,17.2,23.44,37.79,1.75,0
93,L45200MH1974PLC017494,Jyoti Structures Limited,FC,Mumbai,No,2017-07-04,2019-03-27,8015.240000000001,7364.52,650.72,1023.25,3691,273.43,0
94,U74899DL1979PTC009917,Applied Electro Magnetics Private Limited,OC,New Delhi,No,2017-10-26,2019-04-02,68.49000000000001,51.96,16.53,6.14,9.5,3.28,0
95,L51909WB1981PLC034409,SPS Steel Rolling Mills Limited,FC,Kolkata,No,2017-12-22,2019-04-08,2374.32,1950.07,424.25,193.65,265,273.56,0
96,U24100MH1977PTC019831,Aryavart Chemicals Private Limited,OC,Mumbai,No,2018-03-19,2019-04-15,43.81999999999999,35.8,8.02,7.21,5.2,1.56,0
97,U24220MH1986PLC038618,Calyx Chemicals and Pharmaceuticals Limited,FC,Mumbai,No,2018-02-06,2019-04-16,1555.63,1418.37,137.26,41.89,68.3,8.03,0
98,U35110MH2000PLC127953,Dighi Port Limited,OC,Mumbai,No,2018-04-06,2019-05-08,3098.44,3056.96,41.48,356.3,651.12,2.63,0
99,U24249DL1999PTC102754,Shivam Fragrances Private Limited,FC,New Delhi,No,2018-06-11,2019-05-08,2.54,2.54,0.0,3.85,2.54,0,0
100,L31102WB1976PLC030676,Marsons Limited,OC,Kolkata,Yes,2018-06-20,2019-05-09,100.91,100.91,0.0,34.02,34,0,0
101,L17121KA1999PLC025320,Indus Fila Limited,OC,Bengaluru,No,2018-02-20,2019-05-10,690.51,656.11,34.4,31.34,50.7,0.34,0
102,U85110KA1988PTC009720,Maiyas Beverages and Foods Private Limited,OC,Bengaluru,No,2018-07-24,2019-05-10,182.59,109.09,73.5,58.39,109.09,16.2,0
103,U27106DL2005PLC138820,Tehri Iron & Steel Casting Limited,OC,New Delhi,No,2018-05-31,2019-05-21,48.14,24.8,23.34,48,31.75,22.49,0
104,U51909MH2003PTC139055,Dadi Impex Private Limited,OC,Mumbai,No,2018-05-22,2019-05-22,81.68,48.49,33.19,41.36,48.49,0.66,0
105,U40105DL2005PLC140748,Bhushan Energy Limited,FC,New Delhi,No,2018-01-08,2019-05-30,2878.32,2779.95,98.37,721.32,730,49.19,0
106,U27105DL1992PLC049849,Allied Strips Limited,FC,New Delhi,Yes,2018-03-16,2019-05-30,1993.85,1659.69,334.16,188.76,227.21,2.3,0
107,L22122TG2002PLC040110,Deccan Chronicle Holdings Limited,FC,Hyderabad,No,2017-07-05,2019-06-03,8349.05,8180.65,168.4,530.49,357.5,20.19,0
108,U45400TG2008PTC059204,Aster Building Solutions Private Limited,OC,Hyderabad,No,2018-03-23,2019-06-04,76.27,66.72,9.55,22.27,56.25,0.91,0
109,U27310DL2006PLC154866,Uttam Strips Limited,OC,New Delhi,No,2018-04-09,2019-06-06,730.83,558.83,172.0,107,109,172,0
110,U51505DL1997PTC089512,NSP Hospitech India Private Limited,FC,New Delhi,No,2018-12-04,2019-06-06,4.71,1.14,3.57,1.09,1.01,3.55,0
111,U15142RJ2005PTC020089,J.D. Aneja Edibles Private Limited,FC,Jaipur,No,2018-06-04,2019-06-07,12.04,5.18,6.86,8.64,5.47,7.12,0
112,U74900PY2015PTC002951,Dexin Medi Solutions Private Limited,OC,Chennai,Yes,2018-11-12,2019-06-07,12.170000000000002,7.44,4.73,7.24,6.98,2.55,0
113,U70101TN2002PTC048409,Vishwakarma Real Estates & Constructions (India) Private Limited,FC,Chennai,Yes,2018-04-06,2019-06-11,65.8,62.48,3.32,NC,38.56,2.36,0
114,L51909TN1945PLC000068,Tiffins Barytes Asbestos & Paints Limited,FC,Chennai,Yes,2018-03-12,2019-06-12,326.32,112.53,213.79,253.98,62.97,18.94,0
115,U40102MP1995PLC009177,Korba West Power Company Limited,CD,Ahmedabad,No,2018-07-26,2019-06-24,5143.61,5032.16,111.45,1454.93,1166.61,104.28,0
116,L24222TN1992PLC022994,Orchid Pharma Limited,OC,Chennai,No,2017-08-17,2019-06-27,3643.75,3526.73,117.02,1309.49,1034.78,31.21,0
117,U27109TN2004PLC052436,AML Steel and Power Limited,FC,Chennai,Yes,2018-03-12,2019-06-27,395.73,395.73,0.0,21.06,43.63,0.48,0
118,U74990DL2005PLC135152,Asis Plywood Limited,CD,New Delhi,Yes,2017-11-21,2019-07-01,89.89,89.35,0.54,68.99,11.14,0.18,0
119,U17111WB1989PLC046577,Network Industries Limited,FC,Kolkata,Yes,2018-09-26,2019-07-04,257.09,196.22,60.87,31.65,35.8,0.64,0
120,U24230KA2007PTC043892,Olive Lifesciences Private Limited,CD,Bengaluru,No,2017-09-22,2019-07-09,61.45,47.51,13.94,15.2,40.23,1.38,0
121,U25194HR2009PTC039191,Dinesh Polytubes Private Limited,FC,Chandigarh,Yes,2017-12-11,2019-07-12,7.08,5.78,1.3,1.84,2.53,0,0
122,U45205KA2013PTC068868,BCIL Zed Ria Properties Private Limited,FC,Bengaluru,No,2018-08-09,2019-07-16,99.133,91.023,8.11,21.44,35.9,0.02,0
123,U92112DL1997PTC088847,Miditech Private Limited,CD,New Delhi,Yes,2018-02-16,2019-07-18,11.62,11.62,0.0,0.16,1.87,0,0
124,U55101DL2010PTC204045,Beans & More Hospitality Private Limited,FC,New Delhi,No,2018-03-13,2019-07-19,87.36,87.36,0.0,42.01,87.36,0,0
125,L31900TN1973PLC006379,Solidaire India Limited,FC,Chennai,Yes,2018-10-26,2019-07-19,134.35,133.87,0.48,6.11,12,0.48,0
126,U21012TZ2006PTC013010,Sri Srivathsa Paper Mills Private Limited,FC,Chennai,No,2018-11-13,2019-07-19,155.48,153.44,2.04,12,20.5,0.23,0
127,L15140MH1986PLC038536,Ruchi Soya Industries Limited,FC,Mumbai,No,2017-12-15,2019-07-24,12146.33,9384.75,2761.58,2391.16,4093.19,129.92,0
128,L01110MH1991PLC064271,Murli Industries Limited CN,FC,Mumbai,Yes,2017-04-05,2019-07-25,3180.85,2783.1,397.75,231.1,347.74,44.45,0
129,U40109TG2000PLC034758,Lanco Teesta Hydro Power Limited,FC,Hyderabad,No,2018-03-16,2019-07-26,2535.42,2503.17,32.25,132.08,877.74,11.31,0
130,U28112PN2009PTC134607,Shrid Metal Technologies Private Limited,OC,Mumbai,No,2018-04-16,2019-07-26,33.5,16.97,16.53,4.32,13.34,1.24,0
131,L31909TG1988PLC008652,MIC Electronics Limited,FC,Hyderabad,No,2018-03-13,2019-07-31,344.98,263.53,81.45,53,49.72,3.29,0
132,U15421PN2001PLC015691,Khandoba Prasanna Sakhar Karkhana Limited,FC,Mumbai,Yes,2018-01-01,2019-08-01,57.49,30.89,26.6,13.53,18.53,11.21,0
133,U74899DL1983PTC016239,Rustagi Impex Private Limited,FC,New Delhi,No,2018-05-10,2019-08-06,131.85,126.71,5.14,8.57,7.15,0.2,0
134,U24231WB1995PTC068555,Feedatives Pharma Pvt Ltd,OC,Kolkata,No,2018-09-18,2019-08-06,61.54,56.42,5.12,5.9,8,0.44,0
135,U24246DL2007PTC157653,Sheon Skin Care Private Limited,OC,New Delhi,No,2017-12-08,2019-08-09,0.79,0.0,0.79,0.23,0,0.23,0
136,U45201KA2008PTC048262,BCIL Red Earth Developers India Private Limited,FC,Bengaluru,No,2018-08-09,2019-08-09,208.45,199.74,8.71,21.05,79.56,0,0
137,U51109WB1996PTC078063,ARISTO Texcon Pvt Ltd,CD,Kolkata,No,2018-08-31,2019-08-20,36.32,36.32,0.0,8.43,8.51,0,0
138,L27100MH1972PLC016134,Vidharbha Iron and Steel Corporation Limited,CD,Mumbai,No,2018-03-12,2019-08-23,118.13,118.13,0.0,25.89,28.02,0,0
139,U55100TN2011PTC081078,PRC International Hotels Private Limited,FC,Chennai,Yes,2018-07-24,2019-08-27,57.67,53.43,4.24,28.38,25.4,2.59,0
140,U45309MH2010PTC204341,GGS Infrastructures Private Limited,FC,Mumbai,No,2017-10-04,2019-08-30,35.18,31.82,3.36,6.88,15.54,0.52,0
141,L65993WB1979PLC032113,Ramsarup Industries Limited,CD,Kolkata,No,2018-01-08,2019-09-04,6076.02,5851.96,224.06,614.41,351,13.5,0
142,U27100DL1999PLC108350,Bhushan Power & Steel Limited,FC,New Delhi,No,2017-07-26,2019-09-05,47901.61,47157.99,743.62,9513.63,19350,544.86,0
143,U74899DL1995PLC064140,Sunstar Overseas Limited,FC,New Delhi,No,2018-07-20,2019-09-12,1274.14,1091.96,182.18,157.95,195,0.2,0
144,U74899DL1980PTC010731,Jasper Engineers Pvt Ltd,OC,New Delhi,Yes,2018-09-05,2019-09-17,10.35,7.21,3.14,3.47,4.67,0.94,0
145,U45201GJ2010PTC060364,Jaihind Infra Tech Projects Private Limited,FC,Ahmedabad,No,2018-01-16,2019-09-20,683.42,683.42,0.0,0.34,0.37,0,0
146,U14200KA2009PLC048781,Shantha Projects Limited,FC,Bengaluru,No,2018-10-10,2019-09-26,70.42999999999999,68.57,1.86,18.81,14.2,0.25,0
147,L17232WB1890PLC000627,Fort Gloster Industries Limited,OC,Kolkata,Yes,2018-08-09,2019-09-27,727.73,723.89,3.84,52.32,64.2,5.99,0
148,U45201GJ2010PTC060642,Aum Structbuild Private Limited,OC,Ahmedabad,No,2018-11-12,2019-09-30,1.97,1.97,0.0,,1.97,0,0
149,U17100PB2009PTC038761,Mohak Carpets Private Limited,FC,Chandigarh,Yes,2018-10-12,2019-10-10,71.64999999999999,64.57,7.08,9.34,14.18,0,0
150,U15491MH1999PTC121910,Flowtech Equipments (India) Private Limited,OC,Mumbai,No,2019-03-06,2019-10-10,5.41,1.4,4.01,3.33,1.4,3.61,0
151,U13100GA2003PTC003274,Ambey Iron Private Limited,FC,Mumbai,Yes,2018-03-22,2019-10-14,230.28,218.55,11.73,5.63,11.3,0,0
152,U63022WB1997PTC084473,Kanupat Himghar Private Limited,FC,Kolkata,No,2019-01-15,2019-10-14,16.06,16.06,0.0,5.33,5.6,0,0
153,U99999MH1955PLC009504,Metallica Industries Limited,FC,Mumbai,No,2018-04-13,2019-10-16,116.51,116.49,0.02,1.53,61.87,0,0
154,U55101GJ2007PTC050098,A&I Hospitality Private Limited,OC,Ahmedabad,No,2018-01-18,2019-10-17,19.12,13.28,5.84,14.36,11.91,5.02,0
155,U64203TG1989PLC009561,ICOMM Tele Limited,FC,Hyderabad,No,2018-10-04,2019-10-17,2081.83,1907.97,173.86,398.45,603.52,11.51,0
156,U40109TG2005PLC047917,Sai Wardha Power Generation Limited,FC,Hyderabad,No,2018-11-09,2019-10-17,9806.8792691,4738.2945939,5068.5846752,597,635.0000000000003,645.6835691225809,0
157,U23200GJ1984PLC007064,Maruti Koatsu Cylinders Limited,OC,Ahmedabad,Yes,2018-04-26,2019-10-22,89.10000000000001,86.7,2.4,11.37,14.21,0.28,0
158,U45202ML2007PTC008297,MAXIM Infrastructure and Real Estate Private Limited,FC,Guwahati,Yes,2018-08-31,2019-10-25,236.68,235.69,0.99,89.2,118.39,1.11,0
159,U27100DL2011PLC219649,Albus India Limited,FC,New Delhi,Yes,2019-01-02,2019-11-05,41.15,37.61,3.54,6.55,5.81,0.44,0
160,U70200DL2008PLC179626,Rana Global Limited,FC,New Delhi,Yes,2018-03-23,2019-11-06,94.98,94.98,0.0,8.89,9.25,0,0
161,L40102MH1994PLC078468,Ushdev International Limited,FC,Mumbai,No,2018-05-14,2019-11-07,4205.42,3292.53,912.89,66.73,197,2,0
162,U15424MH2007PLC172811,Maharashtra Shetkari Sugar Limited,FC,Mumbai,Yes,2018-08-30,2019-11-07,491.29,469.48,21.81,68.48,102.58,2.81,0
163,U50400HP2013PTC000561,Magma Autolinks Private Limited,CD,Chandigarh,Yes,2018-09-13,2019-11-07,133.44,87.7,45.74,7.4,16.52,1.13,0
164,U70200HP2015PTC000927,Maxim Infra Venues Private Limited,CD,Chandigarh,Yes,2018-09-13,2019-11-07,2.23,2.23,0.0,0.09,0.32,0,0
165,U15400HP2013PTC000565,Shaveta Golden Foods Private Limited,CD,Chandigarh,Yes,2018-09-13,2019-11-07,8.03,6.38,1.65,1.77,2.04,0.05,0
166,U01403HP2013PTC000580,Tanishka Agro Ventures Private Limited,CD,Chandigarh,Yes,2018-09-13,2019-11-07,3.8,3.8,0.0,0.27,1.16,0,0
167,U15421PN1985PLC037450,New Phaltan Sugar Works Ltd,FC,Mumbai,Yes,2019-02-20,2019-11-11,204.73,91.81,112.92,38.95,34.92,33.01,0
168,U55101PN2011PTC139030,Simrut Foods & Hospitality Private Limited,FC,Mumbai,Yes,2018-09-03,2019-11-13,6.89,6.89,0.0,0.01,5.58,0,0
