Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Resolution_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,Liquidation_Value,Realisable_FC,Realisable_OC,Liquidation_Flag
1076,U27107DL1997PLC084906,Metenere Limited,FC,New Delhi,No,2020-10-03,2024-10-04,3672.3899566,3152.049551,520.3404056,261.1932889,272.2718413,5.8881588,0
1077,U34300DL2000PLC107525,Emkay Automobile Industries Limited,OC,New Delhi,No,2021-10-12,2024-08-23,137.2655056,80.3506507,56.9148549,55.08,51.95,3.2135907,0
1078,U36100TN2002PTC048848,Auromatrix Hotels Private Limited,FC,Chennai,No,2021-11-26,2024-05-09,88.44931319999999,88.2334159,0.2158973,27.25,31.5,0.2529928,0
1079,U45201WB2004PTC100084,Rosedale Developers Private Limited,FC,Kolkata,No,2022-02-28,2024-11-27,39.473007800000005,39.3414671,0.1315407,4.8501533,20.4867,0.02,0
1080,U92111DL2002PTC118164,Sadhna Media Private Limited,FC,New Delhi,No,2022-03-30,2024-09-17,123.95844,13.5780146,110.3804254,13.1853084,13.25,0.25,0
1081,U18101WB2005PLC104725,Git Textiles Manufacturing Limited,FC,Kolkata,Yes,2022-06-22,2024-08-02,84.0925185,84.057557,0.0349615,3.4162,3.4792795,0.0356785,0
1082,U74900MH2014FTC255441,Ses Energy Services India Private Limited,CD,Mumbai,No,2022-11-25,2024-11-14,108.9611806,54.7134762,54.2477044,52.58635,0.393003,39.5953441,0
1083,L21093GJ1991PLC057244,Shree Rajeshwaranand Paper Mills Limited,FC,Ahmedabad,Yes,2022-12-07,2024-11-27,100.4175157,76.4665438,23.9509719,33.1625906,39.856,0.67,0
1084,L45201MP2006PLC018506,Cmm Infraprojects Limited,OC,Indore,No,2022-12-15,2024-11-11,131.94531080000002,98.1234608,33.82185,10.762718,12.9861411,0.0338589,0
1085,U65923MH1995PTC092635,Champalalji Finance Private Limited,FC,Mumbai,Yes,2023-03-17,2024-10-29,188.1021781,188.1021781,0.0,41.758583494,36,0,0
1086,U74999MH2002PTC138153,Nd S Art World Private Limited,FC,Mumbai,No,2023-07-25,2024-11-14,369.7132525,289.7283202,79.9849323,98.1215599,102.8000001,0.2999999,0
1087,U45400UP2009PTC038525,Krp Infrastrauctures & Builders Private Limited ,OC,Allahabad,No,2023-08-22,2024-11-08,5.1003431,0.0,5.1003431,0,0,0.13,0
1088,U24233GJ2014PTC080089,Saffron Therapeutics Private Limited,FC,Ahmedabad,No,2023-09-25,2024-11-06,14.6667885,7.5144468,7.1523417,0.0005375,0.7514446,0.7152342,0
1089,L65999MH1993PLC287894,Mpf Systems Limited,FC,Mumbai,No,2023-11-08,2024-10-15,23.4976086,1.6838173,21.8137913,0.0549936,1.6838173,0.42,0
1090,U51101UP2012PTC052648,Rancom Healthcare Private Limited,OC,Allahabad,Yes,2023-12-21,2024-11-12,14.623516,0.0,14.623516,0.03176225,0,0.01,0
1091,U20210GJ2004PTC044949,Optus Laminates Private Limited,OC,Ahmedabad,Yes,2024-01-25,2024-11-20,43.7268797,33.0107802,10.7160995,10.1755044,12.1005061,1.2536255,0
1092,L99999MH1950PLC008152,Pae Limited,FC,Mumbai,No,2024-04-22,2024-11-27,26.790441,4.4814023,22.3090387,0.0282049,4.4814023,1.0186,0
1093,L17120MH1981PLC023900,Blue Blends (India) Limited,OC,Mumbai,No,2021-12-02,2024-12-06,120.0650254,104.3158621,15.7491633,21.1585073,15.8676148,0.6930691,0
1094,U55102DL2003PTC123002,Som Resorts Private Limited,FC,New Delhi,Yes,2022-08-02,2024-12-03,19.0069579,19.0069579,0.0,11.4463936,19.0069579,0,0
1095,U70102MH2012PTC234931,D.K. Realty (India) Private Limited,FC,Mumbai,No,2022-11-15,2024-12-09,2371.6621713,2266.8450105,104.8171608,370.189798,588.3246106,1,0
1096,U24110MH1991PTC059979,Vinergy International Private Limited,FC,Mumbai,Yes,2023-02-09,2024-12-09,312.4983946,138.7019679,173.7964267,2.9341457,12.5,0.05,0
1097,U45201UP2006PTC032578,V V Multiplex Private Limited,FC,New Delhi,Yes,2023-06-15,2024-12-02,74.01906910000001,73.9344647,0.0846044,19.2797876,15.0814471,0.000846,0
1098,U27100WB2009PTC137428,Mbe Coal & Mineral Technology India Private Limited,OC,Kolkata,No,2023-09-12,2024-11-06,38.8664761,20.8162786,18.0501975,7.9127318,10.04,1.17,0
1099,U93090MH2020PTC342527,Karkinos Healthcare Private Limited,OC,Mumbai,No,2024-05-21,2024-12-09,202.166781,102.7166003,99.4501807,167.90965,102.7166003,99.4501807,0
1100,L27105JH1968PLC000818,Tayo Rolls Limited,OC,Kolkata,Yes,2019-04-05,2024-12-17,835.1817175,426.881441,408.3002765,107.823757,0,408.3002765,0
1101,U21093WB2004PTC098305,Indian Pulp & Paper Private Limited,OC,Kolkata,Yes,2022-07-22,2024-12-20,109.4985735,74.2288761,35.2696974,27.190019,28.01,0.2279385,0
1102,U45400DL2009PTC187069,Taxus Infrastructure And Power Projects Private Limited,FC,New Delhi,No,2022-10-10,2024-12-12,113.5713783,91.2913298,22.2800485,6.7800609,21.2145426,0.0417098,0
1103,U51410MH1998PTC116338,Geeta Refinery Private Limited,FC,Mumbai,No,2023-03-03,2024-12-18,216.9248433,215.1303701,1.7944732,10.0623237,10.3887634,0.0030505,0
1104,U55101MH1998PTC117025,Paras Commercial Centre Private Limited,FC,Mumbai,No,2023-03-24,2024-12-20,20.0233305,16.3958202,3.6275103,12.9181,16,0,0
1105,L01111GJ2011PLC068414,Jiya Eco-Products Limited,FC,Ahmedabad,Yes,2023-04-24,2024-12-11,24.4241573,18.1131507,6.3110066,1.3492847,4.3911995,0.06311,0
1106,U28920MH1964PLC012880,Perfect Engineering Products Limited,FC,Mumbai,No,2023-06-06,2024-12-19,648.6220192000001,642.4382748,6.1837444,46.9816548,53.2755611,0.5,0
1107,U01132WB1913PLC002337,Amritpur Tea Company Limited,FC,Kolkata,Yes,2023-09-27,2024-12-20,16.900265,14.6725206,2.2277444,2.6030595,3,2.2277444,0
1108,U72300TG2008PLC058738,Karvy Data Management Services Limited,FC,Hyderabad,No,2023-09-15,2024-12-13,1496.8711059,1039.2782957,457.5928102,52.07052745,132,52.3784394,0
1109,AAC1312,Solar Voltaic Power Llp,FC,Jaipur,Yes,2023-09-19,2024-12-11,12.3959517,1.469863,10.9260887,0.0105924,0.035,0.03,0
