Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Liquidation_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,No_Resolution_Plans,Highest_Resolution_Value,Liquidation_Flag
2572,U93090MH2006PLC163779,Ogd Services Limited,FC,Mumbai,No,2023-02-09,2024-04-29,1308.7450196,1294.8569657,13.8880539,1.0,15,1
2573,U27105MH2005PTC153522,Nashik Forge Private Limited,CD,Mumbai,Yes,2023-04-28,2024-08-02,22.4528525,12.4019361,10.0509164,1.0,2.5,1
2574,U85110GA1998PTC002553,Ugh Vintage Hospital And Medical Research Centre Private Limited,FC,Mumbai,Yes,2023-05-19,2024-08-13,39.6359658,38.2433914,1.3925744,2.0,6,1
2575,U51229TN2005PTC058063,Reliable Cashew Company Private Limited,FC,Chennai,Yes,2023-06-22,2024-08-09,225.5010731,114.7604107,110.7406624,0.0,-,1
2576,U51909WB2010PTC142740,Jelenta Polytraders Private Limited,FC,Kolkata,Yes,2023-08-04,2024-07-22,24.5135,2.5535,21.96,0.0,-,1
2577,U52609KL2016PTC046116,Nandanam Tiles And Sanitaries Private Limited,OC,Kochi,Yes,2024-01-19,2024-08-14,61.1198168,59.6312818,1.488535,0.0,-,1
2578,U11102MH2010PLC199078,Vovl Limited ,OC,Mumbai,No,2019-11-08,2024-06-26,30654.0807934,30654.0807934,0,1.0,-,1
2579,U45400WB2011PLC162615,Abhijeet Toll Road (Karnataka) Limited,FC,Kolkata,Yes,2022-03-31,2024-08-13,162.2791382,162.1062286,0.1729096,0.0,-,1
2580,U17111UP1993PTC015765,Shivalik Cotsyn Private Limited,OC,Allahabad,Yes,2022-04-27,2024-08-22,0.6536488,0.0,0.6536488,0.0,-,1
2581,U45400MH2009PTC197737,Vijaygroup Housing Private Limited,OC,Mumbai,Yes,2022-09-30,2024-08-14,510.2849485,483.3197832,26.9651653,1.0,122.97,1
2582,U51909GJ2016PTC093021,Steelera Engineers Private Limited*,OC,Ahmedabad,,2022-11-16,2024-08-21,,,,,,1
2583,U40101KA2002PTC031346,Bhadragiri Power Private Limited,OC,Bengaluru,Yes,2022-12-02,2024-08-23,81.7488401,81.7488401,0,0.0,-,1
2584,U24233MH2014PTC252204,Aaishni Pharmaceuticals Private Limited,FC,Mumbai,Yes,2023-01-06,2024-08-22,6.8667,6.8667,0,0.0,-,1
2585,U45400WB2012PTC186379,Sigma-C Infrastructure Private Limited,OC,Kolkata,Yes,2023-02-08,2024-08-27,16.4365552,2.3597883,14.0767669,0.0,-,1
2586,U24123GJ2016PTC086441,Ecophos Gnfc India Private Limited,OC,Ahmedabad,Yes,2023-07-06,2024-08-09,156.8002029,0.0,156.8002029,0.0,-,1
2587,U40102PN2007PTC130881,Kgepl Engineering Solutions Private Limited,OC,Mumbai,Yes,2023-07-14,2024-08-07,42.5298011,18.7672249,23.7625762,0.0,-,1
