Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Liquidation_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,No_Resolution_Plans,Highest_Resolution_Value,Liquidation_Flag
1,L32105MH1985PLC035516,Bhupen Electronic Limited,FC,Mumbai,Yes,2017-01-19,2017-07-31,219.06,219.06,0,0.0,-,1
2,U22120MH1996PTC099629,Wind-Way's Packaging Private Limited,OC,Mumbai,Yes,2017-04-07,2017-08-04,16.36,14.74,1.62,0.0,-,1
3,L14200WB1994PLC104573,Rei Agro Limited,OC,Kolkata,Yes,2017-02-27,2017-08-24,8625.859999999999,8624.97,0.89,0.0,-,1
4,U45200TG2005PLC047812,VNR Infrastructures Limited,CD,Hyderabad,Yes,2017-02-10,2017-08-24,1250.35,1102.35,148,1.0,426,1
5,U34102CH1990PLC010459,Hind Motors Limited,CD,Chandigarh,Yes,2017-02-14,2017-08-28,7.01,6.39,0.62,1.0,6.07,1
6,U50101CH2000PLC023964,Hind Motors India Limited,CD,Chandigarh,Yes,2017-03-09,2017-09-12,41.35,40.61,0.74,1.0,26.44,1
7,U50100PB2011PTC035267,Hind Motors (Mohali) Private Limited,CD,Chandigarh,Yes,2017-02-20,2017-09-12,3.51,3.51,0,1.0,1.53,1
8,U63090TG2009PTC065104,VNR Infra Metals Private Limited,CD,Hyderabad,Yes,2017-03-03,2017-09-22,101.15,101.15,0,1.0,18,1
9,U15143TG1998PLC029987,Blossoms Oils and Fats Limited,CD,Hyderabad,Yes,2017-03-22,2017-10-10,413.22,411.35,1.87,1.0,10,1
10,U74900DL1998PTC094758,Helpline Hospitality Private Limited,OC,New Delhi,Yes,2017-04-24,2017-10-11,0.0,0.0,0,0.0,-,1
11,L55101WB1983PLC036362,NICCO Corporation Ltd,CD,Kolkata,Yes,2017-01-18,2017-10-17,414.36,367.07,47.29,1.0,377.28,1
12,L28999WB1937PLC009099,Stewarts and Lloyds of India Limited,CD,Kolkata,Yes,2017-05-01,2017-10-26,64.26,0.0,64.26,0.0,-,1
13,U26942WB1991PTC141633,Keshav Sponge & Energy Private Limited,CD,Kolkata,Yes,2017-02-16,2017-11-14,107.64,106.35,1.29,2.0,57,1
14,U18101KA2004PTC033728,DCS International Private Limited,CD,Bengaluru,Yes,2017-07-10,2017-11-17,9.98,3.2,6.78,0.0,-,1
15,L51900TN1988PLC016275,Abhayam Trading Limited,FC,Chennai,Yes,2017-05-31,2017-11-17,0.72,0.61,0.11,0.0,-,1
16,U63090MH2004PTC148693,Swift Shipping and Freight Logistics Private Limited,CD,Mumbai,Yes,2017-04-19,2017-11-20,0.0,0.0,0,0.0,-,1
17,L17110GJ1974PLC002498,Oasis Textiles Limited,FC,Ahmedabad,Yes,2017-05-31,2017-11-22,1.62,1.59,0.03,0.0,-,1
18,U17119GJ1989PTC011731,Pooja Tex-Prints Private Limited,OC,Ahmedabad,Yes,2017-03-29,2017-11-29,0.19,0.0,0.19,2.0,0.09,1
19,L32109MH1970PLC014509,UB Engineering Limited,CD,Mumbai,Yes,2017-01-18,2017-12-05,484.82,373.33,111.49,1.0,45,1
20,U17291MH2011PTC222793,Shree Rajeshwar Weaving Mills Private Limited,CD,Mumbai,Yes,2017-03-02,2017-12-05,18.2,15.83,2.37,0.0,-,1
21,U80302KA2001PTC029172,24X7 Learning Private Limited,CD,Bengaluru,Yes,2017-04-28,2017-12-06,9.46,2.15,7.31,0.0,-,1
22,L29309PN1991PLC063045,Innoventive Industries Limited,FC,Mumbai,No,2017-01-17,2017-12-08,1496.9,1413.5,83.4,2.0,287.4,1
23,U27104GJ2002PLC041410,New Tech Forge and Foundary Limited,CD,Ahmedabad,Yes,2017-05-29,2017-12-12,467.25,445.56,21.69,0.0,-,1
24,L72200GJ1988PLC010369,Micro Forge (India) Limited,CD,Ahmedabad,Yes,2017-05-29,2017-12-12,97.15,97.15,0,0.0,-,1
25,U15520WB1939PTC007064,R G Shaw & Sons Pvt Ltd,FC,Kolkata,Yes,2017-04-12,2017-12-15,80.34,80.34,0,0.0,-,1
26,U51909WB2009PTC136483,Ajudhia Distributors Private Limited,OC,Kolkata,Yes,2017-05-01,2017-12-15,5.5600000000000005,5.08,0.48,0.0,-,1
27,U11101UP2004FTC047908,Jodpl Private Limited,CD,Allahabad,No,2017-03-17,2017-12-18,3011.0,3011.0,0,0.0,-,1
28,U27109GJ2001PTC040285,New-Tech Fittings Private Limited,CD,Ahmedabad,Yes,2017-05-23,2017-12-18,11.54,9.17,2.37,0.0,-,1
29,U74201DL2000PTC106639,Advantage Projects and Consultants Private Limited,FC,New Delhi,Yes,2017-05-30,2017-12-18,1.53,1.53,0,0.0,-,1
30,U32309KA2004PTC034202,Eolane Electronics Bangalore Private Limited,CD,Bengaluru,Yes,2017-08-31,2017-12-20,9.34,0.0,9.34,0.0,-,1
31,U72300UP2011PTC047549,Wegilant Net Solutions Private Limited,OC,Allahabad,Yes,2017-07-28,2017-12-21,4.65,4.49,0.16,0.0,-,1
32,U51909MH1989PTC051640,Gupta Coal lndia Private Limited,CD,Mumbai,No,2017-03-09,2018-01-01,3894.8,3408.96,485.84,0.0,-,1
33,U40101TN2005PTC058237,Auro Mira Energy Company Private Limited,CD,Chennai,Yes,2017-06-19,2018-01-04,128.84,128.84,0,0.0,-,1
34,U34300MH2011PTC217218,Esskay Motors Private Limited,FC,Mumbai,Yes,2017-06-29,2018-01-08,23.29,13.8,9.49,0.0,-,1
35,L51909WB1986PLC040098,Gujarat NRE Coke Ltd,CD,Kolkata,No,2017-04-07,2018-01-11,5250.85,3641.16,1609.69,1.0,420,1
36,U17115TZ1990PTC002714,Thirupur Suriya Textiles Private Limited,CD,Chennai,Yes,2017-06-14,2018-01-11,230.41,165.88,64.53,0.0,-,1
37,U18101TZ2007PTC013621,Tiruppur Surya Hitec Apparel Private Limited,CD,Chennai,No,2017-06-14,2018-01-11,192.5,151.19,41.31,0.0,-,1
38,U17111GJ2004PTC044535,Radheshyam Fibres Private Limited,FC,Ahmedabad,Yes,2017-08-07,2018-01-15,47.64,47.64,0,0.0,-,1
39,U65992KL1996PTC011021,Orieon Kuries and Loans Private Limited,OC,Chennai,Yes,2017-07-10,2018-01-15,15.87,12.97,2.9,0.0,-,1
40,U24110GJ1996PLC031334,Gujarat Oleo Chem Limited,CD,Ahmedabad,Yes,2017-04-13,2018-01-17,206.42,206.04,0.38,0.0,-,1
41,L99999MH1982PLC026369,Roofit Industries Limited,CD,Mumbai,Yes,2017-06-28,2018-01-22,3943.4,3921.53,21.87,0.0,-,1
42,U01111DL1992PLC049149,Mahaan Proteins Limited,OC,New Delhi,Yes,2017-06-27,2018-01-23,57.39,48.26,9.13,0.0,-,1
43,U45202TN1995PLC050786,Boss Profiles Limited,OC,Chennai,Yes,2017-08-11,2018-01-24,338.75,338.75,0,0.0,-,1
44,U74999KA2012PTC064132,Jackonblock Facility Services Private Limited,OC,Bengaluru,Yes,2017-04-17,2018-01-24,1.63,0.73,0.9,0.0,-,1
45,U27104UP1989PTC011181,Raman Ispat Private Limited,CD,Allahabad,Yes,2017-04-11,2018-01-31,11.44,11.44,0,1.0,12.23,1
46,U40100MH2005PTC154038,Gupta Corporation Private Limited,CD,Mumbai,No,2017-04-03,2018-02-01,3561.0,3430.0,131,0.0,-,1
47,U92120MH2014PTC260211,Best Deal TV Private Limited,OC,Mumbai,Yes,2017-05-05,2018-02-02,14.38,0.06,14.32,0.0,-,1
48,U17120GJ2010PTC063332,Somnath Textile Private Limited,CD,Ahmedabad,Yes,2017-07-28,2018-02-05,47.95,47.95,0,0.0,-,1
49,U31109GJ1996PLC031359,Ruby Cables Limited,CD,Ahmedabad,Yes,2017-08-02,2018-02-05,20.34,20.33,0.01,0.0,-,1
50,U51909GJ2010PTC060316,Dev Cotex Private Limited,CD,Ahmedabad,Yes,2017-08-21,2018-02-05,12.44,12.44,0,0.0,-,1
51,U15419PB2003PTC025934,Dunn Foods Private Limited,CD,Chandigarh,Yes,2017-05-02,2018-02-06,135.91,89.26,46.65,1.0,-,1
52,U65921WB1992PTC057192,Dimond Polymers Private Limited,OC,Kolkata,Yes,2017-08-09,2018-02-06,2.7,0.0,2.7,0.0,-,1
53,U63090DL2014PTC270423,MM Cargo Container Line Private Limited,OC,New Delhi,No,2017-07-27,2018-02-06,0.24,0.0,0.24,1.0,0.22,1
54,U23101MP1999PLC013713,Asian Natural Resources India Limited,FC,Ahmedabad,Yes,2017-05-23,2018-02-09,1363.62,781.46,582.16,0.0,-,1
55,U15140TZ1991PTC003269,Sri Maharaja Oil Imports and Exports India Private Limited,FC,Chennai,Yes,2017-08-04,2018-02-09,73.14,73.14,0,0.0,-,1
56,L51597WB1922PLC004603,Jenson and Nicholson (India) Ltd,FC,Kolkata,Yes,2017-08-07,2018-02-12,2898.77,2817.0,81.77,0.0,-,1
57,U35921PB1999PTC022865,Rolex Cycles Private Limited,OC,Chandigarh,Yes,2017-07-13,2018-02-13,43.31,40.82,2.49,0.0,-,1
58,L34300DL1971PLC005634,Clutch Auto Limited,CD,New Delhi,Yes,2017-04-10,2018-02-15,484.52,477.82,6.7,2.0,57,1
59,U28920MH1986PLC040875,Ultra Drytech Engineering Ltd.,CD,Mumbai,Yes,2017-03-06,2018-02-19,28.08,21.16,6.92,0.0,-,1
60,U85110KA1992PTC013449,Infinity Fab Engineering Company Private Limited,OC,Bengaluru,Yes,2017-06-27,2018-02-20,12.22,8.61,3.61,1.0,21.84,1
61,U17111TN1981PTC009143,Karpagam Spinners Private Limited,OC,Chennai,Yes,2017-07-19,2018-02-22,4.55,2.6,1.95,0.0,-,1
62,U31300MH1997PTC107933,Padmavati Wires and Cables Private Limited,OC,Mumbai,No,2017-09-05,2018-02-22,1.65,1.63,0.02,0.0,-,1
63,U51909WB2009PTC131918,RHD Enterprises Private Limited,OC,Kolkata,Yes,2017-08-21,2018-02-22,0.29,0.0,0.29,0.0,-,1
64,U74210TG1973PLC001612,Kadevi Industries Limited,FC,Hyderabad,No,2017-03-15,2018-02-23,418.68,362.72,55.96,1.0,27,1
65,U51109HR2007PLC040823,SRS Modern Sales Limited,CD,Chandigarh,Yes,2017-04-17,2018-02-26,87.34,87.34,0,0.0,-,1
66,U17100GJ2005PTC046384,Sarthak Creation Private Limited,CD,Ahmedabad,Yes,2017-08-30,2018-02-27,87.2,87.2,0,0.0,-,1
67,U74999MH2009PLC189800,DLS Industries Limited,FC,Mumbai,Yes,2017-05-03,2018-02-27,8.55,8.55,0,0.0,-,1
68,U74999DL2005PTC133840,Mega Soft Infrastructure Private Limited,FC,New Delhi,No,2017-08-23,2018-02-28,5.7,5.7,0,0.0,-,1
69,U51909WB2012PTC175905,Upadan Commodities Private Limited,OC,Kolkata,No,2017-08-29,2018-03-01,0.06,0.0,0.06,0.0,-,1
70,U27109TZ1995PTC005862,Sri Padamabalaji Steels Private Limited,OC,Chennai,Yes,2017-09-11,2018-03-05,126.69,126.69,0,0.0,-,1
71,U14106KA2006PTC040866,Suvarna Karnataka Cements Private Limited,CD,Bengaluru,Yes,2017-04-28,2018-03-07,56.8,56.73,0.07,1.0,2,1
72,L99999MH1965PLC013150,Precision Fasteners Limited,FC,Mumbai,Yes,2017-11-07,2018-03-12,3155.1,3154.52,0.58,0.0,-,1
73,U45400WB2010PTC153194,Maa Tara Industrial Complex Private Limited,OC,Kolkata,Yes,2017-09-08,2018-03-16,0.03,0.0,0.03,0.0,-,1
74,U31102GJ2007PLC052486,Diamond Power Transformers Limited,CD,Ahmedabad,Yes,2017-06-06,2018-03-19,138.16000000000005,137.8,0.36,0.0,-,1
75,U29113TN1996PTC036693,Veesons Energy Systems Private Limited,CD,Chennai,No,2017-06-19,2018-03-19,148.27,102.8,45.47,1.0,43.95,1
76,U29259GJ1986PTC008690,Aarohi Motors Private Limited,CD,Ahmedabad,No,2017-09-21,2018-03-19,35.34,32.87,2.47,1.0,2.9,1
77,U27100TN2010PTC075769,Varadha Steels Private Limited,OC,Chennai,Yes,2017-08-22,2018-03-20,47.64,46.33,1.31,0.0,-,1
78,U28931MH1989PTC287782,Jhelum Industries Private Limited,OC,Mumbai,Yes,2017-08-17,2018-03-20,16.8,0.0,16.8,0.0,-,1
79,U51102CT1998PLC013149,Vindhya Vasini Industries Limited,FC,Mumbai,Yes,2017-08-29,2018-03-20,5.28,5.28,0,0.0,-,1
80,U01119TG2003PTC041810,Super Agriseeds Private Limited,CD,Hyderabad,Yes,2017-09-06,2018-03-21,110.44,87.96,22.48,0.0,-,1
81,U27100WB2002PTC094591,Barjora Steel and Re-Rolling Mills Private Limited,OC,Kolkata,Yes,2017-05-18,2018-03-21,9.260000000000002,8.38,0.88,0.0,-,1
82,U15490WB2011PTC166440,Laxmivinayak Rice Mills Limited,FC,Kolkata,Yes,2017-09-19,2018-03-22,15.41,14.33,1.08,0.0,-,1
83,U26920HR1995PLC032947,Tirupati Ceramics Ltd.,FC,Chandigarh,Yes,2017-09-29,2018-03-22,4.68,4.68,0,0.0,-,1
84,U51396UP1992PTC014605,Rotomac Global Private Limited,FC,Allahabad,Yes,2017-09-20,2018-03-23,3943.64,3927.46,16.18,0.0,-,1
85,U51497UP2002PTC026476,Rotomac Exports Private Limited,FC,Allahabad,Yes,2017-09-20,2018-03-23,2885.95,2885.95,0,0.0,-,1
86,L34101UP1972PLC003612,LML Limited,CD,Allahabad,Yes,2017-05-30,2018-03-23,493.0700000000001,345.05,148.02,4.0,243,1
87,L65921TN1985PLC070358,Ennore Coke Limited,CD,Chennai,Yes,2017-06-20,2018-03-23,146.35,146.06,0.29,1.0,47,1
88,U40102MH2007PTC175497,Gupta Energy Private Limited,CD,Mumbai,No,2017-03-21,2018-03-26,776.55,718.25,58.3,4.0,122,1
89,U63032MH2002PLC136714,Deep Water Services (India) Limited,OC,Mumbai,Yes,2017-06-20,2018-03-27,11.29,0.0,11.29,0.0,-,1
90,U51109TN1999PTC043513,Daehsan Trading (India) Private Limited,OC,Chennai,Yes,2017-06-16,2018-03-27,55.14,0.0,55.14,0.0,-,1
91,U31900TG2012PTC084137,Bumblebee Electronics Private Limited,OC,Hyderabad,Yes,2017-09-25,2018-03-28,48.08,21.38,26.7,0.0,-,1
92,U27109PB2000PTC023808,Aseem Ispat Private Limited,OC,Chandigarh,Yes,2017-09-20,2018-04-02,3.36,0.96,2.4,0.0,-,1
93,U51909DL2005PTC140291,Vedika Nut Craft Private Limited,CD,New Delhi,Yes,2017-06-30,2018-04-04,128.23,128.23,0,0.0,-,1
94,U74210MH2007PTC171535,Raphael Engineering Pvt. Ltd.,FC,Mumbai,Yes,2017-08-18,2018-04-05,4.44,4.07,0.37,0.0,-,1
95,U19201TN2003PTC050891,Nag Yang Shoes Private Limited,OC,Chennai,Yes,2017-09-07,2018-04-06,24.38,24.38,0,0.0,-,1
96,U17121GJ2008PLC054905,Jalaram Cotton & Proteins Limited,CD,Ahmedabad,Yes,2017-11-15,2018-04-09,79.58,79.58,0,0.0,-,1
97,U18209TN1990PTC019861,Nag Leathers Private Limited,OC,Chennai,Yes,2017-07-10,2018-04-09,42.15,18.43,23.72,0.0,-,1
98,L24230MH1988PLC047243,Futuristic Offshore Services and Chemical Limited,CD,Mumbai,Yes,2017-06-12,2018-04-09,32.93,32.82,0.11,0.0,-,1
99,U26940MH1987PLC043640,Yog Inddustries Limited,OC,Mumbai,Yes,2017-08-22,2018-04-12,115.72,99.2,16.52,0.0,-,1
100,U74900MH2008PTC181475,Grandmother India Design Private Limited,FC,Mumbai,Yes,2017-06-30,2018-04-16,0.12,0.12,0,0.0,-,1
101,U51101MH2012PTC232763,Mehadia Sales Trade Corporation Private Limited,CD,Mumbai,No,2017-07-06,2018-04-17,125.2,78.52,46.68,0.0,-,1
102,U72300TN2009PLC071228,Everonn Skill Development Limited,FC,Chennai,Yes,2017-11-23,2018-04-23,24.62,24.62,0,0.0,-,1
103,L21012TN2005PLC092783,Servalakshmi Paper Limited,OC,Chennai,No,2017-06-21,2018-04-24,679.6400000000001,628.08,51.56,2.0,53.5,1
104,U28991TN1981PLC009067,Cethar Limited,OC,Chennai,Yes,2017-06-16,2018-04-25,1668.02,1198.71,469.31,0.0,-,1
105,U27200MH1988PLC050107,Loha Ispaat Limited,OC,Mumbai,Yes,2017-04-28,2018-04-26,2080.51,2073.72,6.79,1.0,491,1
106,U63012MH2007FTC172214,Swiber Offshore (India) Private Limited,OC,Mumbai,No,2017-03-31,2018-04-26,109.79,0.0,109.79,0.0,-,1
107,U17111TZ2010PTC015875,Vijai Mahalaxmi Spinning Mills India Private Limited,OC,Chennai,Yes,2017-11-07,2018-04-27,78.66,74.59,4.07,0.0,-,1
108,U17120GJ2013PTC077715,Shiv Cotgin Private Limited,CD,Ahmedabad,Yes,2017-08-21,2018-04-27,39.79,39.79,0,0.0,-,1
109,U27203TZ2010PTC016164,Deivaanai Sinter Metals Private Limited,FC,Chennai,No,2017-10-11,2018-05-03,13.54,13.54,0,1.0,3.25,1
110,U70102PN2006PLC128911,Phadnis Properties Limited,OC,Mumbai,No,2017-09-14,2018-05-07,281.93,263.98,17.95,0.0,-,1
111,U45209PN2005PLC021262,Phadnis Infrastructure Limited,OC,Mumbai,No,2017-09-14,2018-05-07,279.99,271.89,8.1,0.0,-,1
112,U74999PN2009PTC133790,Zeel Global Projects Private Limited,OC,Mumbai,No,2017-04-27,2018-05-07,1.3,1.28,0.02,0.0,-,1
113,L72900MH1980PLC022652,Zenith Computers Limited,FC,Mumbai,No,2017-06-12,2018-05-08,210.6488,210.64,0.0088,2.0,12.85,1
114,U29100MH2000PTC125464,Shiv Kripa lspat Private Limited,FC,Mumbai,Yes,2017-08-14,2018-05-09,25.03,25.03,0,0.0,-,1
115,U51909DD1996PLC003108,Metal Link Alloys Limited,CD,Ahmedabad,Yes,2017-08-17,2018-05-11,284.24,280.86,3.38,0.0,-,1
116,U14200DD2008PTC004716,Metal Holdings India Private Limited,CD,Ahmedabad,Yes,2017-08-17,2018-05-11,103.02,101.7,1.32,0.0,-,1
117,U24232CH2003PLC025785,Shivek Labs Limited,CD,Chandigarh,No,2017-07-06,2018-05-17,142.16,135.57,6.59,2.0,12.75,1
118,U21029CH2014PTC035005,Skyblue Papers Private Limited,CD,Chandigarh,Yes,2017-04-07,2018-05-17,18.13,18.09,0.04,2.0,5.69,1
119,U14200MH2011PTC218367,H.P. Ore Processors Private Limited,CD,Mumbai,Yes,2017-08-28,2018-05-17,7.274999999999999,7.27,0.005,0.0,-,1
120,U51100MH1952PLC008745,Varun Corporation Limited,FC,Mumbai,Yes,2017-06-30,2018-05-18,232.0,232.0,0,0.0,-,1
121,U74300CH1992PTC012491,Super Multicolor Printers Pvt Ltd,CD,Chandigarh,No,2017-04-07,2018-05-23,246.0,236.13,9.87,1.0,40,1
122,U31900DL2009PTC193490,Uniforce Energy Systems India Private Limited,OC,New Delhi,Yes,2017-07-14,2018-05-23,4.24,0.51,3.73,0.0,-,1
123,U17121PB2008PTC031787,Yashoda Cotton and General Mills Private Limited,OC,Chandigarh,Yes,2017-11-28,2018-05-25,7.82,7.23,0.59,0.0,-,1
124,U27106TZ2007PTC014046,Suryabalaji Steels Private Limited,OC,Chennai,Yes,2017-10-05,2018-05-29,53.6,49.17,4.43,0.0,-,1
125,U45400WB2007PTC118776,Resurgent Infratel Private Limited,FC,Kolkata,No,2017-11-21,2018-05-30,80.75,80.75,0,0.0,-,1
126,U45201DL2005PLC136000,Mariners Buildcon India Limited,FC,New Delhi,Yes,2017-08-24,2018-06-01,31.11,1.25,29.86,0.0,-,1
127,U31102TN2005PTC058171,Tech Megacorp International Private Limited,OC,Chennai,Yes,2017-08-16,2018-06-06,39.78,34.35,5.43,0.0,-,1
128,U50300TZ2001PTC009759,Visuwam Auto Spares Private Limited,OC,Chennai,Yes,2017-08-07,2018-06-06,7.640000000000001,6.53,1.11,0.0,-,1
129,U23209GJ2000PLC037132,Anil Nutrients Limited,FC,Ahmedabad,Yes,2017-08-23,2018-06-07,105.87,85.58,20.29,0.0,-,1
130,L17119GJ1994PLC023307,Well Pack Papers and Containers Limited,CD,Ahmedabad,Yes,2017-08-09,2018-06-07,7.84,1.26,6.58,0.0,-,1
131,U74899DL2000PTC106300,Rajesh Gems and Jewels Private Limited and Ors,OC,New Delhi,Yes,2017-12-12,2018-06-11,132.9,132.53,0.37,0.0,-,1
132,U74140DL2000PTC107561,Max-Tech Oil and Gas services Private Limited,OC,New Delhi,Yes,2017-05-01,2018-06-12,214.74,213.77,0.97,0.0,-,1
133,U31900TN1980PLC008398,Titanium Tantalum Products Limited,OC,Chennai,No,2017-11-27,2018-06-12,169.41,156.76,12.65,0.0,-,1
134,U51109WB1995PTC075042,Balaji Polysacks Pvt Ltd,FC,Kolkata,Yes,2017-12-14,2018-06-12,17.78,17.21,0.57,0.0,-,1
135,U93090MH2010PTC210667,Nascent Jewellery Private Limited,OC,Mumbai,Yes,2017-09-14,2018-06-20,29.54,15.7,13.84,0.0,-,1
136,U17111TN1983PLC010373,Sri Naga Nanthana Mills Limited,OC,Chennai,Yes,2017-11-29,2018-06-21,12.0,10.81,1.19,0.0,-,1
137,U27106TN2007PTC062685,R.V. Steels and Power Private Limited,OC,Chennai,Yes,2017-09-28,2018-06-21,8.84,6.31,2.53,0.0,-,1
138,U19116TN2006PTC059764,United India Shoe Uppers Private Limited,OC,Chennai,Yes,2017-07-31,2018-06-21,2.67,0.0,2.67,0.0,-,1
139,U18101TN1996PLC037180,SKC Retail Limited,FC,Chennai,Yes,2017-07-12,2018-06-22,280.42,280.42,0,0.0,-,1
140,U17111TZ2006PTC013108,KAC Yarn Private Limited,OC,Chennai,Yes,2017-12-11,2018-06-22,11.55,10.8,0.75,0.0,-,1
141,U18101TZ1991PLC003195,Lakshmi Apparels and Wovens Limited,OC,Chennai,Yes,2017-09-01,2018-06-22,11.05,11.05,0,0.0,-,1
142,L27100MH2004PLC146283,Facor Steels Limited,CD,Mumbai,Yes,2017-03-08,2018-06-26,96.32,91.14,5.18,2.0,61.71,1
143,U74210MH1974PLC017644,Hindustan Dorr Oliver Limited,FC,Mumbai,No,2017-04-21,2018-07-02,1773.95,1650.44,123.51,4.0,327.8,1
144,U72200MH2006PLC163187,HDO Technologiess Limited,FC,Mumbai,No,2017-04-28,2018-07-02,235.59,230.78,4.81,4.0,-,1
145,U51101TG2011PTC072889,Sanjay Strips Private Limited and Ors,OC,Hyderabad,No,2017-11-13,2018-07-02,48.84,48.72,0.12,0.0,-,1
146,U52399GJ2009PTC057588,ABXL Retails (India) Private Limited,FC,Ahmedabad,Yes,2017-09-19,2018-07-02,10.82,10.82,0,0.0,-,1
147,L51909DL1986PLC024222,Samtel Color Limited,FC,New Delhi,Yes,2017-09-07,2018-07-04,1377.03,1291.81,85.22,1.0,165,1
148,U51909WB2010PTC155187,Confident Solar Private Limited,FC,Kolkata,No,2018-01-05,2018-07-04,17.69,17.69,0,0.0,-,1
149,U74210TN2004PTC052931,Emmanuel Engineering Private Limited,OC,Chennai,Yes,2017-08-31,2018-07-04,11.41,4.98,6.43,1.0,3,1
150,U45201DL2005PTC138693,Pier-One Constructions Private Limited,OC,New Delhi,Yes,2017-11-21,2018-07-04,7.27,4.96,2.31,0.0,-,1
151,U74999DL1999PLC100251,Arrow Resources Limited,FC,New Delhi,No,2017-08-07,2018-07-04,0.5800000000000001,0.05,0.53,0.0,-,1
152,U15495KA2008PTC045677,Karuturi Foods Private Limited,OC,Bengaluru,Yes,2017-10-10,2018-07-05,11.8,11.65,0.15,0.0,-,1
153,U74900KA2008PTC048739,Aegan Industries Private Limited,FC,Bengaluru,Yes,2017-08-18,2018-07-06,108.99,102.39,6.6,2.0,30,1
154,U24232KA2010PLC055616,Aegan Batteries Limited,CD,Bengaluru,Yes,2017-08-18,2018-07-06,108.59,108.45,0.14,1.0,8,1
155,U27205MH2012PTC236081,BM Jain Metallik Private Limited,CD,Mumbai,Yes,2017-10-18,2018-07-09,82.49,56.51,25.98,0.0,-,1
156,U51224DL2015PTC279116,Getit Grocery Private Limited,OC,New Delhi,Yes,2018-01-08,2018-07-09,8.76,0.0,8.76,0.0,-,1
157,U72900TN2004PLC054575,Moka Technology Services Limited,OC,Chennai,Yes,2017-07-21,2018-07-10,0.75,0.0,0.75,0.0,-,1
158,U70102MP1997PTC012118,BCC Estate Private Limited,FC,Ahmedabad,No,2017-09-06,2018-07-13,730.76,730.76,0,0.0,-,1
159,U55101TN2005PTC057600,Inland Facilities Management Private Limited,OC,Chennai,Yes,2017-12-05,2018-07-13,27.97,11.91,16.06,1.0,11,1
160,U40107TN2007PTC064486,Auro Mira Biopower India Private Limited,OC,Chennai,Yes,2017-09-01,2018-07-16,103.96,103.43,0.53,0.0,-,1
161,U51494DL2011PTC221186,Free Culture Apparels Private Limited and Ors,OC,New Delhi,Yes,2017-09-01,2018-07-16,5.27,1.05,4.22,0.0,-,1
162,U28991TN1983PTC010085,Associated Cylinders and Accessories Private Limited,OC,Chennai,Yes,2018-01-10,2018-07-16,4.77,3.67,1.1,0.0,-,1
163,U72200KA2006PTC038258,Virtual Logic Systems Private Limited,OC,Bengaluru,Yes,2018-01-22,2018-07-17,3.7,3.59,0.11,0.0,-,1
164,U51420TN2006PTC060562,DDS Steel Rolling Mills Private Limited,FC,Chennai,Yes,2018-03-06,2018-07-18,119.24,119.24,0,0.0,-,1
165,U15490PB2010PLC034368,Oasis Agroinfra Private Limited,CD,Chandigarh,Yes,2017-09-22,2018-07-18,21.68,21.68,0,0.0,-,1
166,U17110MH1990PTC058339,Sanaa Syntex Private Limited,FC,Mumbai,No,2017-08-22,2018-07-19,37.03,37.03,0,1.0,7,1
167,U27107MH2007PTC284031,Kandla Steel Private Limited,OC,Mumbai,No,2017-07-10,2018-07-19,15.87,0.0,15.87,0.0,-,1
168,U74210MH2005PTC274096,Kutch Engineering Private Limited,OC,Mumbai,No,2017-07-20,2018-07-19,13.87,0.0,13.87,0.0,-,1
169,U14213MH1984PLC032643,Linkson lnternational Limited,FC,Mumbai,Yes,2017-10-06,2018-07-20,187.71,112.21,75.5,0.0,-,1
170,U14100MH1999PTC122477,Linkson Ispat and Energies Private Limited,FC,Mumbai,Yes,2017-10-06,2018-07-20,96.34,54.92,41.42,0.0,-,1
171,U23101WB2010PTC153439,Shree Coke Manufacturing Company Private Limited,FC,Kolkata,Yes,2017-12-22,2018-07-20,61.5,38.08,23.42,0.0,-,1
172,U72300UP2005PTC083334,YMS Mobitech Private Limited,OC,Allahabad,No,2017-10-23,2018-07-20,35.68,9.68,26,1.0,-,1
173,U27101TN1985PLC011795,Jai Bhavani Steels Enterprises Limited,FC,Chennai,Yes,2018-04-02,2018-07-23,199.75,199.75,0,0.0,-,1
174,U74900PB2008PTC031623,SECL Industries Private Limited,CD,Chandigarh,Yes,2017-10-25,2018-07-24,140.32999999999998,139.73,0.6,0.0,-,1
175,U29219MH2011PTC219804,Apex Engineering Solution and Services Private Limited,OC,Mumbai,Yes,2017-07-19,2018-07-25,17.34,13.08,4.26,0.0,-,1
176,U35111GA1992PLC002464,Western India Shipyard Limited,FC,Mumbai,Yes,2017-12-12,2018-07-26,123.72,76.81,46.91,0.0,-,1
177,U29219TG1987PTC008053,Kakatiya Engineering Equipment Pvt Ltd,FC,Hyderabad,Yes,2018-02-23,2018-07-27,45.04,45.04,0,0.0,-,1
178,U28990DL2009PTC190503,VNM Components Private Limited,CD,New Delhi,Yes,2018-02-07,2018-07-27,17.259999999999998,5.56,11.7,0.0,-,1
179,U36912MH1996PLC096788,P & S Jewellery Limited,CD,Mumbai,Yes,2017-05-29,2018-07-30,933.23,788.59,144.64,2.0,-,1
